#separator:tab		
<b>同日</b> <br> 同日に会議があります。	[sound:s-0001_同日に会議があります。.mp3] <br> どうじつにかいぎがあります。 <br>There is a meeting on the same day.
<b>直</b> <br> 問題を直に解決することが重要だ。	[sound:s-1634_問題を直に解決することが重要だ。.mp3] <br> もんだいをじきにかいけつすることがじゅうようだ。 <br>It's important to solve problems directly.
<b>直ちに</b> <br> 問題が発生したら直ちに対処する必要がある。	[sound:s-1635_問題が発生したら直ちに対処する必要がある。.mp3] <br> もんだいがはっせいしたらただちにたいしょするひつようがある。 <br>It's necessary to deal with problems immediately when they occur.
<b>見直し</b> <br> プロジェクトの進捗状況を見直しました。	[sound:s-1636_プロジェクトの進捗状況を見直しました。.mp3] <br> ぷろじぇくとのしんちょくじょうきょうをみなおしました。 <br>We reviewed the progress of the project.
<b>直後</b> <br> 会議が終わった直後に報告書を送った。	[sound:s-1637_会議が終わった直後に報告書を送った。.mp3] <br> かいぎがおわったちょくごにほうこくしょをおくった。 <br>I sent the report immediately after the meeting ended.
<b>直接</b> <br> その問題について直接話し合いたい。	[sound:s-1638_その問題について直接話し合いたい。.mp3] <br> そのもんだいについてちょくせつはなしあいたい。 <br>I want to discuss the issue directly.
<b>直前</b> <br> 出発直前に電車が遅れた。	[sound:s-1639_出発直前に電車が遅れた。.mp3] <br> しゅっぱつちょくぜんにでんしゃがおくれた。 <br>The train was delayed just before departure.
<b>直面</b> <br> 困難に直面しても決して逃げてはいけない。	[sound:s-1640_困難に直面しても決して逃げてはいけない。.mp3] <br> こんなんにちょくめんしてもけっしてにげてはいけない。 <br>You must never run away even when faced with difficulties.
<b>率直</b> <br> 彼は率直な意見を言った。	[sound:s-1641_彼は率直な意見を言った。.mp3] <br> かれはそっちょくないけんをいった。 <br>He expressed his honest opinion.
<b>正直</b> <br> 彼は正直な人柄で信頼されている。	[sound:s-1642_彼は正直な人柄で信頼されている。.mp3] <br> かれはしょうじきなひとがらでしんらいされている。 <br>He is trusted for his honesty and sincerity.
<b>素直</b> <br> 彼女は素直な性格で人々に愛されている。	[sound:s-1643_彼女は素直な性格で人々に愛されている。.mp3] <br> かのじょはすなおなせいかくでひとびとにあいされている。 <br>She is loved by people for her straightforward personality.
<b>両国</b> <br> 両国の首脳会談が成功裏に終了した。	[sound:s-1644_両国の首脳会談が成功裏に終了した。.mp3] <br> りょうこくのしゅのうかいだんがせいこうりにしゅうりょうした。 <br>The summit meeting between the two countries ended successfully.
<b>両党</b> <br> 両党は対立を乗り越えて協力することになった。	[sound:s-1645_両党は対立を乗り越えて協力することになった。.mp3] <br> りょうとうはたいりつをのりこえてきょうりょくすることになった。 <br>Both parties agreed to cooperate by overcoming their differences.
<b>両親</b> <br> 私の両親は共に長生きしてほしい。	[sound:s-1646_私の両親は共に長生きしてほしい。.mp3] <br> わたしのりょうしんはともにながいきしてほしい。 <br>I want both of my parents to live long lives.
<b>車両</b> <br> 駅で車両の乗り換えをする。	[sound:s-1647_駅で車両の乗り換えをする。.mp3] <br> えきでしゃりょうののりかえをする。 <br>Transfer to another train at the station.
<b>両院</b> <br> 法案は両院で可決された。	[sound:s-1648_法案は両院で可決された。.mp3] <br> ほうあんはりょういんでかけつされた。 <br>The bill was passed by both houses of the legislature.
<b>両氏</b> <br> 両氏の間には確執がある。	[sound:s-1649_両氏の間には確執がある。.mp3] <br> りょうしのあいだにはかくしつがある。 <br>There is a conflict between the two parties.
<b>両日</b> <br> 両日とも快晴だった。	[sound:s-1650_両日とも快晴だった。.mp3] <br> りょうじつともかいせいだった。 <br>Both days were sunny.
<b>両者</b> <br> 両者の意見が相いれない。	[sound:s-1651_両者の意見が相いれない。.mp3] <br> りょうしゃのいけんがあいあわない。 <br>The opinions of the two parties do not match.
<b>両方</b> <br> 両方の選択肢を検討した。	[sound:s-1652_両方の選択肢を検討した。.mp3] <br> りょうほうのせんたくしをけんとうした。 <br>Both options were considered.
<b>両面</b> <br> 彼の提案は両面から議論されるべきだ。	[sound:s-1653_彼の提案は両面から議論されるべきだ。.mp3] <br> かれのていあんはりょうめんからぎろんされるべきだ。 <br>His proposal should be discussed from both perspectives.
<b>朝</b> <br> 朝早く起きてジョギングをする。	[sound:s-1654_朝早く起きてジョギングをする。.mp3] <br> あさはやくおきてじょぎんぐをする。 <br>Get up early in the morning and go jogging.
<b>北朝鮮</b> <br> 北朝鮮の核実験が国際社会から非難された。	[sound:s-1655_北朝鮮の核実験が国際社会から非難された。.mp3] <br> きたちょうせんのかくじっけんがこくさいしゃかいからひなんされた。 <br>North Korea's nuclear test was condemned by the international community.
<b>朝鮮</b> <br> 朝鮮半島は韓国と北朝鮮からなる。	[sound:s-1656_朝鮮半島は韓国と北朝鮮からなる。.mp3] <br> ちょうせんはんとうはかんこくときたちょうせんからなる。 <br>The Korean Peninsula consists of South Korea and North Korea.
<b>朝鮮民主主義人民共和国</b> <br> 朝鮮民主主義人民共和国の首都は平壌です。	[sound:s-1657_朝鮮民主主義人民共和国の首都は平壌です。.mp3] <br> ちょうせんみんしゅしゅぎじんみんきょうわこくのしゅとはへいじょうです。 <br>The capital of the Democratic People's Republic of Korea is Pyongyang.
<b>朝鮮半島</b> <br> 朝鮮半島は東アジアに位置している。	[sound:s-1658_朝鮮半島は東アジアに位置している。.mp3] <br> ちょうせんはんとうはひがしアジアにいちしている。 <br>The Korean Peninsula is located in East Asia.
<b>早朝</b> <br> 早朝の散歩は気持ちがいい。	[sound:s-1659_早朝の散歩は気持ちがいい。.mp3] <br> そうちょうのさんぽはきもちがいい。 <br>Early morning walks are refreshing.
<b>朝日</b> <br> 山々が朝日に照らされて美しい景色が広がっていた。	[sound:s-1660_山々が朝日に照らされて美しい景色が広がっていた。.mp3] <br> やまがたちがあさひにてらされてうつくしいけしきがひろがっていた。 <br>"The mountains were bathed in the morning sun, creating a beautiful landscape."
<b>朝刊</b> <br> 朝刊を読んでから仕事に出かけた。	[sound:s-1661_朝刊を読んでから仕事に出かけた。.mp3] <br> ちょうかんをよんでからしごとにでかけた。 <br>I went to work after reading the morning paper.
<b>朝食</b> <br> 朝食は一日の始まりだ。	[sound:s-1662_朝食は一日の始まりだ。.mp3] <br> ちょうしょくはいちにちのはじまりだ。 <br>Breakfast is the beginning of the day.
<b>毎朝</b> <br> 毎朝、ジョギングをする習慣がある。	[sound:s-1663_毎朝、ジョギングをする習慣がある。.mp3] <br> まいあさ、じょぎんぐをするしゅうかんがある。 <br>I have a habit of jogging every morning.
<b>革</b> <br> 革製品の製造工程には多くの手間がかかる。	[sound:s-1664_革製品の製造工程には多くの手間がかかる。.mp3] <br> かわせいひんのせいぞうこうていにはおおくのてまがかかる。 <br>The production process of leather goods requires a lot of effort.
<b>改革</b> <br> 新しい政府は国の改革を約束した。	[sound:s-1665_新しい政府は国の改革を約束した。.mp3] <br> あたらしいせいふはくにのかいかくをやくそくした。 <br>The new government promised reforms for the country.
