tender, kind, gentle, graceful, affectionate, amiable, suave	<b>優しい</b> <br> やさしい <br> [sound:4c-k-優しい.mp3]
[sound:4c-s-この地域では喫煙を禁止する条例があります。.mp3]	<b>この地域では喫煙を禁止する条例があります。</b> <br> じょうけんつきでしょうにんがえられました。 <br><br> (条例) <br> Approval was granted with conditions.
この地域では喫煙を禁止する条例があります。 <br><br> (条例)	<b>じょうけんつきでしょうにんがえられました。</b> <br> Approval was granted with conditions. <br> [sound:4c-s-この地域では喫煙を禁止する条例があります。.mp3]
Approval was granted with conditions.	<b>この地域では喫煙を禁止する条例があります。</b> <br> じょうけんつきでしょうにんがえられました。 <br><br> (条例) <br> [sound:4c-s-この地域では喫煙を禁止する条例があります。.mp3]
[sound:4c-k-条件付き.mp3]	<b>条件付き</b> <br> じょうけんつき <br> conditionally, with conditions attached
条件付き	<b>じょうけんつき</b> <br> conditionally, with conditions attached <br> [sound:4c-k-条件付き.mp3]
conditionally, with conditions attached	<b>条件付き</b> <br> じょうけんつき <br> [sound:4c-k-条件付き.mp3]
[sound:4c-s-条件付きで承認が得られました。.mp3]	<b>条件付きで承認が得られました。</b> <br> むじょうけんでけいやくがむすばれました。 <br><br> (条件付き) <br> The contract was signed unconditionally.
条件付きで承認が得られました。 <br><br> (条件付き)	<b>むじょうけんでけいやくがむすばれました。</b> <br> The contract was signed unconditionally. <br> [sound:4c-s-条件付きで承認が得られました。.mp3]
The contract was signed unconditionally.	<b>条件付きで承認が得られました。</b> <br> むじょうけんでけいやくがむすばれました。 <br><br> (条件付き) <br> [sound:4c-s-条件付きで承認が得られました。.mp3]
[sound:4c-k-無条件.mp3]	<b>無条件</b> <br> むじょうけん <br> unconditional
無条件	<b>むじょうけん</b> <br> unconditional <br> [sound:4c-k-無条件.mp3]
unconditional	<b>無条件</b> <br> むじょうけん <br> [sound:4c-k-無条件.mp3]
[sound:4c-s-無条件で契約が結ばれました。.mp3]	<b>無条件で契約が結ばれました。</b> <br> ろうどうじょうけんのかいぜんがもとめられています。 <br><br> (無条件) <br> Improvement in labor conditions is being demanded.
無条件で契約が結ばれました。 <br><br> (無条件)	<b>ろうどうじょうけんのかいぜんがもとめられています。</b> <br> Improvement in labor conditions is being demanded. <br> [sound:4c-s-無条件で契約が結ばれました。.mp3]
Improvement in labor conditions is being demanded.	<b>無条件で契約が結ばれました。</b> <br> ろうどうじょうけんのかいぜんがもとめられています。 <br><br> (無条件) <br> [sound:4c-s-無条件で契約が結ばれました。.mp3]
[sound:4c-k-労働条件.mp3]	<b>労働条件</b> <br> ろうどうじょうけん <br> working conditions
労働条件	<b>ろうどうじょうけん</b> <br> working conditions <br> [sound:4c-k-労働条件.mp3]
working conditions	<b>労働条件</b> <br> ろうどうじょうけん <br> [sound:4c-k-労働条件.mp3]
[sound:4c-s-労働条件の改善が求められています。.mp3]	<b>労働条件の改善が求められています。</b> <br> しんかんせんはとうきょうとおおさかをむすんでいます。 <br><br> (労働条件) <br> The Shinkansen connects Tokyo and Osaka.
労働条件の改善が求められています。 <br><br> (労働条件)	<b>しんかんせんはとうきょうとおおさかをむすんでいます。</b> <br> The Shinkansen connects Tokyo and Osaka. <br> [sound:4c-s-労働条件の改善が求められています。.mp3]
The Shinkansen connects Tokyo and Osaka.	<b>労働条件の改善が求められています。</b> <br> しんかんせんはとうきょうとおおさかをむすんでいます。 <br><br> (労働条件) <br> [sound:4c-s-労働条件の改善が求められています。.mp3]
[sound:4c-k-新幹線.mp3]	<b>新幹線</b> <br> しんかんせん <br> bullet train (very high speed), Shinkansen
新幹線	<b>しんかんせん</b> <br> bullet train (very high speed), Shinkansen <br> [sound:4c-k-新幹線.mp3]
bullet train (very high speed), Shinkansen	<b>新幹線</b> <br> しんかんせん <br> [sound:4c-k-新幹線.mp3]
[sound:4c-s-新幹線は東京と大阪を結んでいます。.mp3]	<b>新幹線は東京と大阪を結んでいます。</b> <br> このもんだいはそしきのこんかんにかかわります。 <br><br> (新幹線) <br> This issue is related to the core of the organization.
新幹線は東京と大阪を結んでいます。 <br><br> (新幹線)	<b>このもんだいはそしきのこんかんにかかわります。</b> <br> This issue is related to the core of the organization. <br> [sound:4c-s-新幹線は東京と大阪を結んでいます。.mp3]
This issue is related to the core of the organization.	<b>新幹線は東京と大阪を結んでいます。</b> <br> このもんだいはそしきのこんかんにかかわります。 <br><br> (新幹線) <br> [sound:4c-s-新幹線は東京と大阪を結んでいます。.mp3]
[sound:4c-k-根幹.mp3]	<b>根幹</b> <br> こんかん <br> basis, nucleus, root and branch
根幹	<b>こんかん</b> <br> basis, nucleus, root and branch <br> [sound:4c-k-根幹.mp3]
basis, nucleus, root and branch	<b>根幹</b> <br> こんかん <br> [sound:4c-k-根幹.mp3]
[sound:4c-s-この問題は組織の根幹に関わります。.mp3]	<b>この問題は組織の根幹に関わります。</b> <br> かんせんどうろはこうつうのようしょです。 <br><br> (根幹) <br> Main roads are key points in transportation.
この問題は組織の根幹に関わります。 <br><br> (根幹)	<b>かんせんどうろはこうつうのようしょです。</b> <br> Main roads are key points in transportation. <br> [sound:4c-s-この問題は組織の根幹に関わります。.mp3]
Main roads are key points in transportation.	<b>この問題は組織の根幹に関わります。</b> <br> かんせんどうろはこうつうのようしょです。 <br><br> (根幹) <br> [sound:4c-s-この問題は組織の根幹に関わります。.mp3]
[sound:4c-k-幹線.mp3]	<b>幹線</b> <br> かんせん <br> main line, trunk line
幹線	<b>かんせん</b> <br> main line, trunk line <br> [sound:4c-k-幹線.mp3]
main line, trunk line	<b>幹線</b> <br> かんせん <br> [sound:4c-k-幹線.mp3]
[sound:4c-s-幹線道路は交通の要所です。.mp3]	<b>幹線道路は交通の要所です。</b> <br> しゅかんがかいぎをしんこうしています。 <br><br> (幹線) <br> The head of the department is leading the meeting.
幹線道路は交通の要所です。 <br><br> (幹線)	<b>しゅかんがかいぎをしんこうしています。</b> <br> The head of the department is leading the meeting. <br> [sound:4c-s-幹線道路は交通の要所です。.mp3]
The head of the department is leading the meeting.	<b>幹線道路は交通の要所です。</b> <br> しゅかんがかいぎをしんこうしています。 <br><br> (幹線) <br> [sound:4c-s-幹線道路は交通の要所です。.mp3]
[sound:4c-k-主幹.mp3]	<b>主幹</b> <br> しゅかん <br> chief editor, managing editor; manager, person in charge
主幹	<b>しゅかん</b> <br> chief editor, managing editor; manager, person in charge <br> [sound:4c-k-主幹.mp3]
chief editor, managing editor; manager, person in charge	<b>主幹</b> <br> しゅかん <br> [sound:4c-k-主幹.mp3]
[sound:4c-s-主幹が会議を進行しています。.mp3]	<b>主幹が会議を進行しています。</b> <br> かれのどくとくなすたいるがめをひきます。 <br><br> (主幹) <br> His unique style catches the eye.
主幹が会議を進行しています。 <br><br> (主幹)	<b>かれのどくとくなすたいるがめをひきます。</b> <br> His unique style catches the eye. <br> [sound:4c-s-主幹が会議を進行しています。.mp3]
His unique style catches the eye.	<b>主幹が会議を進行しています。</b> <br> かれのどくとくなすたいるがめをひきます。 <br><br> (主幹) <br> [sound:4c-s-主幹が会議を進行しています。.mp3]
[sound:4c-k-独特.mp3]	<b>独特</b> <br> どくとく <br> peculiarity, uniqueness, characteristic
独特	<b>どくとく</b> <br> peculiarity, uniqueness, characteristic <br> [sound:4c-k-独特.mp3]
peculiarity, uniqueness, characteristic	<b>独特</b> <br> どくとく <br> [sound:4c-k-独特.mp3]
[sound:4c-s-彼の独特なスタイルが目を引きます。.mp3]	<b>彼の独特なスタイルが目を引きます。</b> <br> そのくにはどくりつこくとしてみとめられています。 <br><br> (独特) <br> That country is recognized as an independent nation.
彼の独特なスタイルが目を引きます。 <br><br> (独特)	<b>そのくにはどくりつこくとしてみとめられています。</b> <br> That country is recognized as an independent nation. <br> [sound:4c-s-彼の独特なスタイルが目を引きます。.mp3]
That country is recognized as an independent nation.	<b>彼の独特なスタイルが目を引きます。</b> <br> そのくにはどくりつこくとしてみとめられています。 <br><br> (独特) <br> [sound:4c-s-彼の独特なスタイルが目を引きます。.mp3]
[sound:4c-k-独立国.mp3]	<b>独立国</b> <br> どくりつこく <br> independent state or nation
独立国	<b>どくりつこく</b> <br> independent state or nation <br> [sound:4c-k-独立国.mp3]
independent state or nation	<b>独立国</b> <br> どくりつこく <br> [sound:4c-k-独立国.mp3]
[sound:4c-s-その国は独立国として認められています。.mp3]	<b>その国は独立国として認められています。</b> <br> とうどくはれいせんじだいのどいつのいちぶでした。 <br><br> (独立国) <br> East Germany was part of Germany during the Cold War.
その国は独立国として認められています。 <br><br> (独立国)	<b>とうどくはれいせんじだいのどいつのいちぶでした。</b> <br> East Germany was part of Germany during the Cold War. <br> [sound:4c-s-その国は独立国として認められています。.mp3]
East Germany was part of Germany during the Cold War.	<b>その国は独立国として認められています。</b> <br> とうどくはれいせんじだいのどいつのいちぶでした。 <br><br> (独立国) <br> [sound:4c-s-その国は独立国として認められています。.mp3]
[sound:4c-k-東独.mp3]	<b>東独</b> <br> とうどく <br> East Germany
東独	<b>とうどく</b> <br> East Germany <br> [sound:4c-k-東独.mp3]
East Germany	<b>東独</b> <br> とうどく <br> [sound:4c-k-東独.mp3]
[sound:4c-s-東独は冷戦時代のドイツの一部でした。.mp3]	<b>東独は冷戦時代のドイツの一部でした。</b> <br> どくさいしゃはけんりょくをもちつづけています。 <br><br> (東独) <br> The dictator continues to hold power.
東独は冷戦時代のドイツの一部でした。 <br><br> (東独)	<b>どくさいしゃはけんりょくをもちつづけています。</b> <br> The dictator continues to hold power. <br> [sound:4c-s-東独は冷戦時代のドイツの一部でした。.mp3]
