[sound:k-2254_昨春.mp3]	last spring, the spring of last year<br> <b>昨春</b> <br> (さくしゅん)
[sound:s-2432_会社の取締役会が開催されました。.mp3]	(<b>取締役会</b>) 会社の取締役会が開催されました。<br> かいしゃのとりしまりやくかいがかいさいされました。 <br>The board of directors meeting was held.	
小島	[sound:k-2443_小島.mp3]<br>こじま <br> small island, islet
small island, islet	<b>小島<b> <br> こじま <br>[sound:k-2443_小島.mp3]
[sound:k-2443_小島.mp3]	small island, islet<br> <b>小島</b> <br> (こじま)
(<b>心構え</b>) 旅行に行く前に心構えをしておく。	[sound:s-2443_旅行に行く前に心構えをしておく。.mp3] <br> りょこうにいくまえにこころがまえをしておく。 <br> Prepare mentally before going on a trip.
[sound:s-2433_住民票は役所で取得できます。.mp3]	(<b>役所</b>) 住民票は役所で取得できます。<br> じゅうみんひょうはやくしょでしゅとくできます。 <br>You can obtain a resident certificate at the municipal office.	
半島	[sound:k-2444_半島.mp3]<br>はんとう <br> peninsula
peninsula	<b>半島<b> <br> はんとう <br>[sound:k-2444_半島.mp3]
[sound:k-2444_半島.mp3]	peninsula<br> <b>半島</b> <br> (はんとう)
(<b>木</b>) 公園にはたくさんの木があります。	[sound:s-2444_公園にはたくさんの木があります。.mp3] <br> こうえんにはたくさんのきがあります。 <br> There are many trees in the park.
[sound:s-2434_この機構は効率的な仕組みを持っています。.mp3]	(<b>機構</b>) この機構は効率的な仕組みを持っています。<br> このきこうはこうりつてきなしくみをもっています。 <br>This organization has an efficient mechanism.	
列島	[sound:k-2445_列島.mp3]<br>れっとう <br> archipelago, chain of islands
archipelago, chain of islands	<b>列島<b> <br> れっとう <br>[sound:k-2445_列島.mp3]
[sound:k-2445_列島.mp3]	archipelago, chain of islands<br> <b>列島</b> <br> (れっとう)
(<b>青木</b>) 彼の家の周りには青木がたくさんあります。	[sound:s-2445_彼の家の周りには青木がたくさんあります。.mp3] <br> かれのいえのまわりにはあおきがたくさんあります。 <br> There are many cypress trees around his house.
[sound:s-2435_この建物の構造は頑丈だ。.mp3]	(<b>構造</b>) この建物の構造は頑丈だ。<br> このたてもののこうぞうはがんじょうだ。 <br>The structure of this building is sturdy.	
島根	[sound:k-2446_島根.mp3]<br>しまね <br> island country
island country	<b>島根<b> <br> しまね <br>[sound:k-2446_島根.mp3]
[sound:k-2446_島根.mp3]	island country<br> <b>島根</b> <br> (しまね)
(<b>木造</b>) この家は木造です。	[sound:s-2446_この家は木造です。.mp3] <br> このいえはもくぞうです。 <br> This house is made of wood.
[sound:s-2436_新しいプロジェクトの構想を練る。.mp3]	(<b>構想</b>) 新しいプロジェクトの構想を練る。<br> あたらしいぷろじぇくとのこうそうをねる。 <br>Develop a plan for the new project.	
千島	[sound:k-2447_千島.mp3]<br>ちしま <br> Kurile Islands
Kurile Islands	<b>千島<b> <br> ちしま <br>[sound:k-2447_千島.mp3]
[sound:k-2447_千島.mp3]	Kurile Islands<br> <b>千島</b> <br> (ちしま)
(<b>土木</b>) 彼は土木工学を専攻しています。	[sound:s-2447_彼は土木工学を専攻しています。.mp3] <br> かれはどぼくこうがくをせんこうしています。 <br> He is majoring in civil engineering.
[sound:s-2437_この組織の構成を理解する。.mp3]	(<b>構成</b>) この組織の構成を理解する。<br> このそしきのこうせいをりかいする。 <br>Understand the composition of this organization.	
島国	[sound:k-2448_島国.mp3]<br>しまぐに, とうごく <br> island country (sometimes used as a metaphor for Japan)
island country (sometimes used as a metaphor for Japan)	<b>島国<b> <br> しまぐに, とうごく <br>[sound:k-2448_島国.mp3]
[sound:k-2448_島国.mp3]	island country<br> <b>sometimes used as a metaphor for Japan) (島国</b> <br> (しまぐに, とうごく)
(<b>木材</b>) 家具を作るために木材を購入する。	[sound:s-2448_家具を作るために木材を購入する。.mp3] <br> かぐをつくるためにもくざいをこうにゅうする。 <br> Purchase lumber to make furniture.
[sound:s-2438_新しい道路を構築する計画がある。.mp3]	(<b>構築</b>) 新しい道路を構築する計画がある。<br> あたらしいどうろをこうちくするけいかくがある。 <br>There is a plan to construct a new road.	
離島	[sound:k-2449_離島.mp3]<br>りとう <br> isolated (outlying) island, departure from an island
isolated (outlying) island, departure from an island	<b>離島<b> <br> りとう <br>[sound:k-2449_離島.mp3]
[sound:k-2449_離島.mp3]	isolated<br> <b>outlying) island, departure from an island (離島</b> <br> (りとう)
(<b>荒木</b>) その森は荒木に覆われている。	[sound:s-2449_その森は荒木に覆われている。.mp3] <br> そのもりはあらきにおおわれている。 <br> The forest is covered with rough trees.
[sound:s-2439_その絵の構図が美しい。.mp3]	(<b>構図</b>) その絵の構図が美しい。<br> そのえのこうずがうつくしい。 <br>The composition of the painting is beautiful.	
直	[sound:k-2450_直.mp3]<br>じき <br> soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction
soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction	<b>直<b> <br> じき <br>[sound:k-2450_直.mp3]
[sound:k-2450_直.mp3]	soon, in a moment, before long, shortly; nearby, close; direct; spot transaction, cash transaction<br> <b>直</b> <br> (じき)
(<b>樹木</b>) 公園には様々な樹木が植えられています。	[sound:s-2450_公園には様々な樹木が植えられています。.mp3] <br> こうえんにはさまざまなじゅもくがうえられています。 <br> Various trees are planted in the park.
[sound:s-2440_ありがとう、結構です。.mp3]	(<b>結構</b>) ありがとう、結構です。<br> ありがとう、けっこうです。 <br>Thank you, I'm fine.	
直ちに	[sound:k-2451_直ちに.mp3]<br>ただちに <br> at once, immediately, directly, in person
at once, immediately, directly, in person	<b>直ちに<b> <br> ただちに <br>[sound:k-2451_直ちに.mp3]
[sound:k-2451_直ちに.mp3]	at once, immediately, directly, in person<br> <b>直ちに</b> <br> (ただちに)
(<b>木曜</b>) 木曜日に会議があります。	[sound:s-2451_木曜日に会議があります。.mp3] <br> もくようびにかいぎがあります。 <br> There is a meeting on Thursday.
[sound:s-2441_彼女は他人の意見に構わない。.mp3]	(<b>構う</b>) 彼女は他人の意見に構わない。<br> かのじょはたにんのいけんにかまわない。 <br>She doesn't care about other people's opinions.	
見直し	[sound:k-2452_見直し.mp3]<br>みなおし <br> review, reconsideration, revision
review, reconsideration, revision	<b>見直し<b> <br> みなおし <br>[sound:k-2452_見直し.mp3]
[sound:k-2452_見直し.mp3]	review, reconsideration, revision<br> <b>見直し</b> <br> (みなおし)
(<b>木星</b>) 木星は太陽系で最大の惑星です。	[sound:s-2452_木星は太陽系で最大の惑星です。.mp3] <br> もくせいはたいようけいでさいだいのわくせいです。 <br> Jupiter is the largest planet in the solar system.
[sound:s-2442_この施設の構内には多くの施設がある。.mp3]	(<b>構内</b>) この施設の構内には多くの施設がある。<br> このしせつのこうないにはおおくのしせつがある。 <br>There are many facilities within the premises of this facility.	
直後	[sound:k-2453_直後.mp3]<br>ちょくご <br> immediately following
immediately following	<b>直後<b> <br> ちょくご <br>[sound:k-2453_直後.mp3]
[sound:k-2453_直後.mp3]	immediately following<br> <b>直後</b> <br> (ちょくご)
(<b>木製</b>) その椅子は木製です。	[sound:s-2453_その椅子は木製です。.mp3] <br> そのいすはもくせいです。 <br> The chair is made of wood.
[sound:s-2443_旅行に行く前に心構えをしておく。.mp3]	(<b>心構え</b>) 旅行に行く前に心構えをしておく。<br> りょこうにいくまえにこころがまえをしておく。 <br>Prepare mentally before going on a trip.	
直接	[sound:k-2454_直接.mp3]<br>ちょくせつ <br> direct, immediate, personal, firsthand
direct, immediate, personal, firsthand	<b>直接<b> <br> ちょくせつ <br>[sound:k-2454_直接.mp3]
[sound:k-2454_直接.mp3]	direct, immediate, personal, firsthand<br> <b>直接</b> <br> (ちょくせつ)
(<b>割り</b>) ケーキを割りますか？	[sound:s-2454_ケーキを割りますか？.mp3] <br> ケーキをわりますか？	Would you like to split the cake?
[sound:s-2444_公園にはたくさんの木があります。.mp3]	(<b>木</b>) 公園にはたくさんの木があります。<br> こうえんにはたくさんのきがあります。 <br>There are many trees in the park.	
直前	[sound:k-2455_直前.mp3]<br>ちょくぜん <br> just before
just before	<b>直前<b> <br> ちょくぜん <br>[sound:k-2455_直前.mp3]
[sound:k-2455_直前.mp3]	just before<br> <b>直前</b> <br> (ちょくぜん)
(<b>役割</b>) 彼はグループで重要な役割を果たしています。	[sound:s-2455_彼はグループで重要な役割を果たしています。.mp3] <br> かれはグループでじゅうようなやくわりをはたしています。 <br> He plays an important role in the group.
[sound:s-2445_彼の家の周りには青木がたくさんあります。.mp3]	(<b>青木</b>) 彼の家の周りには青木がたくさんあります。<br> かれのいえのまわりにはあおきがたくさんあります。 <br>There are many cypress trees around his house.	
直面	[sound:k-2456_直面.mp3]<br>ちょくめん <br> confrontation
confrontation	<b>直面<b> <br> ちょくめん <br>[sound:k-2456_直面.mp3]
[sound:k-2456_直面.mp3]	confrontation<br> <b>直面</b> <br> (ちょくめん)
(<b>割合</b>) その割合は非常に高いです。	[sound:s-2456_その割合は非常に高いです。.mp3] <br> そのわりあいはひじょうにたかいです。 <br> The proportion is very high.
[sound:s-2446_この家は木造です。.mp3]	(<b>木造</b>) この家は木造です。<br> このいえはもくぞうです。 <br>This house is made of wood.	
率直	[sound:k-2457_率直.mp3]<br>そっちょく <br> frankness, candour, candor, openheartedness
frankness, candour, candor, openheartedness	<b>率直<b> <br> そっちょく <br>[sound:k-2457_率直.mp3]
[sound:k-2457_率直.mp3]	frankness, candour, candor, openheartedness<br> <b>率直</b> <br> (そっちょく)
(<b>分割</b>) ファイルを分割して送信する。	[sound:s-2457_ファイルを分割して送信する。.mp3] <br> ファイルをぶんかつしてそうしんする。 <br> Split the file and send it.
[sound:s-2447_彼は土木工学を専攻しています。.mp3]	(<b>土木</b>) 彼は土木工学を専攻しています。<br> かれはどぼくこうがくをせんこうしています。 <br>He is majoring in civil engineering.	
正直	[sound:k-2458_正直.mp3]<br>しょうじき <br> honesty, integrity, frankness; honestly, frankly
honesty, integrity, frankness; honestly, frankly	<b>正直<b> <br> しょうじき <br>[sound:k-2458_正直.mp3]
[sound:k-2458_正直.mp3]	honesty, integrity, frankness; honestly, frankly<br> <b>正直</b> <br> (しょうじき)
(<b>割引</b>) このクーポンで10％の割引が適用されます。	[sound:s-2458_このクーポンで10％の割引が適用されます。.mp3] <br> このくーぽんで10％のわりびきがてきようされます。 <br> This coupon entitles you to a 10% discount.
[sound:s-2448_家具を作るために木材を購入する。.mp3]	(<b>木材</b>) 家具を作るために木材を購入する。<br> かぐをつくるためにもくざいをこうにゅうする。 <br>Purchase lumber to make furniture.	
素直	[sound:k-2459_素直.mp3]<br>すなお <br> obedient, meek, docile, unaffected; honest, frank
obedient, meek, docile, unaffected; honest, frank	<b>素直<b> <br> すなお <br>[sound:k-2459_素直.mp3]
[sound:k-2459_素直.mp3]	obedient, meek, docile, unaffected; honest, frank<br> <b>素直</b> <br> (すなお)
(<b>割高</b>) この商品は他の店よりも割高です。	[sound:s-2459_この商品は他の店よりも割高です。.mp3] <br> このしょうひんはほかのみせよりもわりだかです。 <br> This product is more expensive than in other stores.
