[sound:s-3089_家族でピクニックに行きます。.mp3]	(<b>家族</b>) 家族でピクニックに行きます。<br> かぞくでピクニックにいきます。 <br>We're going on a picnic with the family.	
回転	[sound:k-3266_回転.mp3]<br>かいてん <br> rotation (usu. around something), revolution, turning
rotation (usu. around something), revolution, turning	<b>回転<b> <br> かいてん <br>[sound:k-3266_回転.mp3]
[sound:k-3266_回転.mp3]	rotation<br> <b>usu. around something), revolution, turning (回転</b> <br> (かいてん)
(<b>回収</b>) ごみの回収は毎週金曜日です。	[sound:s-3266_ごみの回収は毎週金曜日です。.mp3] <br> ごみのかいしゅうはまいしゅうきんようびです。 <br> Garbage collection is every Friday.
[sound:s-3256_今度の週末は友達と旅行します。.mp3]	(<b>今度</b>) 今度の週末は友達と旅行します。<br> こんどのしゅうまつはともだちとりょこうします。 <br>I'm going on a trip with friends this weekend.	
転じる	[sound:k-3267_転じる.mp3]<br>てんじる <br> to turn, to shift, to alter, to distract
to turn, to shift, to alter, to distract	<b>転じる<b> <br> てんじる <br>[sound:k-3267_転じる.mp3]
[sound:k-3267_転じる.mp3]	to turn, to shift, to alter, to distract<br> <b>転じる</b> <br> (てんじる)
(<b>回数</b>) その試験は一回のみ受けることができます。	[sound:s-3267_その試験は一回のみ受けることができます。.mp3] <br> そのしけんはいっかいのみうけることができます。 <br> You can only take the exam once.
[sound:s-3257_今日は忙しい一日でした。.mp3]	(<b>今日</b>) 今日は忙しい一日でした。<br> きょうはいそがしいいちにちでした。 <br>Today was a busy day.	
逆転勝ち	[sound:k-3268_逆転勝ち.mp3]<br>ぎゃくてんがち <br> winning after defeat seems certain, coming from behind to win
winning after defeat seems certain, coming from behind to win	<b>逆転勝ち<b> <br> ぎゃくてんがち <br>[sound:k-3268_逆転勝ち.mp3]
[sound:k-3268_逆転勝ち.mp3]	winning after defeat seems certain, coming from behind to win<br> <b>逆転勝ち</b> <br> (ぎゃくてんがち)
(<b>次回</b>) 次回の会議は来週火曜日に予定されています。	[sound:s-3268_次回の会議は来週火曜日に予定されています。.mp3] <br> じかいのかいぎはらいしゅうかようびによていされています。 <br> The next meeting is scheduled for next Tuesday.
[sound:s-3258_今季のトレンドは花柄です。.mp3]	(<b>今季</b>) 今季のトレンドは花柄です。<br> こんきのとれんどははながらです。 <br>The trend this season is floral patterns.	
転勤	[sound:k-3269_転勤.mp3]<br>てんきん <br> job transfer, job relocation, intra-company transfer
job transfer, job relocation, intra-company transfer	<b>転勤<b> <br> てんきん <br>[sound:k-3269_転勤.mp3]
[sound:k-3269_転勤.mp3]	job transfer, job relocation, intra-company transfer<br> <b>転勤</b> <br> (てんきん)
(<b>新た</b>) 彼は新たな挑戦を始めました。	[sound:s-3269_彼は新たな挑戦を始めました。.mp3] <br> かれはあらたなちょうせんをはじめました。 <br> He embarked on a new challenge.
[sound:s-3259_今春は暖かい天気が続いています。.mp3]	(<b>今春</b>) 今春は暖かい天気が続いています。<br> こんしゅんはあたたかいてんきがつづいています。 <br>Warm weather has continued this spring.	
食	[sound:k-3270_食.mp3]<br>しょく <br> meal, (one's) diet, food, foodstuff(s); eclipse (solar, lunar, etc.)
meal, (one's) diet, food, foodstuff(s); eclipse (solar, lunar, etc.)	<b>食<b> <br> しょく <br>[sound:k-3270_食.mp3]
[sound:k-3270_食.mp3]	meal,<br> <b>one's) diet, food, foodstuff(s); eclipse (solar, lunar, etc.) (食</b> <br> (しょく)
(<b>新党</b>) 新党は政治的な変化をもたらすかもしれません。	[sound:s-3270_新党は政治的な変化をもたらすかもしれません。.mp3] <br> しんとうはせいじてきなへんかをもたらすかもしれません。 <br> The new party may bring about political change.
[sound:s-3260_今日は何回目の訪問ですか？.mp3]	(<b>回</b>) 今日は何回目の訪問ですか？	きょうはなんかいめのほうもんですか？ <br>How many times have you visited today?
食事	[sound:k-3271_食事.mp3]<br>しょくじ <br> meal; to eat
meal; to eat	<b>食事<b> <br> しょくじ <br>[sound:k-3271_食事.mp3]
[sound:k-3271_食事.mp3]	meal; to eat<br> <b>食事</b> <br> (しょくじ)
(<b>新聞</b>) 朝日新聞は日本で最も有名な新聞の一つです。	[sound:s-3271_朝日新聞は日本で最も有名な新聞の一つです。.mp3] <br> あさひしんぶんはにほんでもともゆうめいなしんぶんのひとつです。 <br> The Asahi Shimbun is one of the most famous newspapers in Japan.
[sound:s-3261_彼の健康は回復しています。.mp3]	(<b>回復</b>) 彼の健康は回復しています。<br> かれのけんこうはかいふくしています。 <br>His health is improving.	
食品	[sound:k-3272_食品.mp3]<br>しょくひん <br> commodity, foodstuff
commodity, foodstuff	<b>食品<b> <br> しょくひん <br>[sound:k-3272_食品.mp3]
[sound:k-3272_食品.mp3]	commodity, foodstuff<br> <b>食品</b> <br> (しょくひん)
(<b>新人</b>) 新人の社員はまだ会社のルールを学んでいます。	[sound:s-3272_新人の社員はまだ会社のルールを学んでいます。.mp3] <br> しんじんのしゃいんはまだかいしゃのるーるをまなんでいます。 <br> The new employee is still learning the company's rules.
[sound:s-3262_彼は質問に丁寧に回答しました。.mp3]	(<b>回答</b>) 彼は質問に丁寧に回答しました。<br> かれはしつもんにていねいにかいとうしました。 <br>He answered the question politely.	
食料	[sound:k-3273_食料.mp3]<br>しょくりょう <br> food
food	<b>食料<b> <br> しょくりょう <br>[sound:k-3273_食料.mp3]
[sound:k-3273_食料.mp3]	food<br> <b>食料</b> <br> (しょくりょう)
(<b>新生</b>) その学校は新生児の保育に特化しています。	[sound:s-3273_その学校は新生児の保育に特化しています。.mp3] <br> そのがっこうはしんせいじのほいくにとくかしています。 <br> The school specializes in childcare for newborns.
[sound:s-3263_前回の会議の議事録を見直しましたか？.mp3]	(<b>前回</b>) 前回の会議の議事録を見直しましたか？	ぜんかいのかいぎのぎしろくをみなおしましたか？ <br>Did you review the minutes of the previous meeting?
食糧	[sound:k-3274_食糧.mp3]<br>しょくりょう <br> provisions, rations, food supply
provisions, rations, food supply	<b>食糧<b> <br> しょくりょう <br>[sound:k-3274_食糧.mp3]
[sound:k-3274_食糧.mp3]	provisions, rations, food supply<br> <b>食糧</b> <br> (しょくりょう)
(<b>新しい</b>) 彼女は新しい仕事を始めました。	[sound:s-3274_彼女は新しい仕事を始めました。.mp3] <br> かのじょはあたらしいしごとをはじめました。 <br> She started a new job.
[sound:s-3264_彼らは次の回戦に向けて練習しています。.mp3]	(<b>回戦</b>) 彼らは次の回戦に向けて練習しています。<br> かれらはつきのかいせんにむけてれんしゅうしています。 <br>They are practicing for the next match.	
昼食	[sound:k-3275_昼食.mp3]<br>ちゅうしょく, ちゅうじき, ひるげ <br> lunch, midday meal; food served at a tea party (tea ceremony)
lunch, midday meal; food served at a tea party (tea ceremony)	<b>昼食<b> <br> ちゅうしょく, ちゅうじき, ひるげ <br>[sound:k-3275_昼食.mp3]
[sound:k-3275_昼食.mp3]	lunch, midday meal; food served at a tea party<br> <b>tea ceremony) (昼食</b> <br> (ちゅうしょく, ちゅうじき, ひるげ)
(<b>新幹線</b>) 東京から大阪まで新幹線で行くのはとても便利です。	[sound:s-3275_東京から大阪まで新幹線で行くのはとても便利です。.mp3] <br> とうきょうからおおさかまでしんかんせんでいくのはとてもべんりです。 <br> Taking the Shinkansen from Tokyo to Osaka is very convenient.
[sound:s-3265_一回だけチャンスを与えてください。.mp3]	(<b>一回</b>) 一回だけチャンスを与えてください。<br> いっかいだけちゃんすをあたえてください。 <br>Please give me only one chance.	
飲食	[sound:k-3276_飲食.mp3]<br>いんしょく <br> food and drink, eating and drinking
food and drink, eating and drinking	<b>飲食<b> <br> いんしょく <br>[sound:k-3276_飲食.mp3]
[sound:k-3276_飲食.mp3]	food and drink, eating and drinking<br> <b>飲食</b> <br> (いんしょく)
(<b>革新</b>) 新しいアイデアが産業に革新をもたらしました。	[sound:s-3276_新しいアイデアが産業に革新をもたらしました。.mp3] <br> あたらしいあいであがさんぎょうにかくしんをもたらしました。 <br> New ideas have brought innovation to the industry.
[sound:s-3266_ごみの回収は毎週金曜日です。.mp3]	(<b>回収</b>) ごみの回収は毎週金曜日です。<br> ごみのかいしゅうはまいしゅうきんようびです。 <br>Garbage collection is every Friday.	
給食	[sound:k-3277_給食.mp3]<br>きゅうしょく <br> school lunch, providing a meal
school lunch, providing a meal	<b>給食<b> <br> きゅうしょく <br>[sound:k-3277_給食.mp3]
[sound:k-3277_給食.mp3]	school lunch, providing a meal<br> <b>給食</b> <br> (きゅうしょく)
(<b>最新</b>) そのスマートフォンは最新のテクノロジーを搭載しています。	[sound:s-3277_そのスマートフォンは最新のテクノロジーを搭載しています。.mp3] <br> そのすまーとふぉんはさいしんのてくのろじーをとうさいしています。 <br> The smartphone is equipped with the latest technology.
[sound:s-3267_その試験は一回のみ受けることができます。.mp3]	(<b>回数</b>) その試験は一回のみ受けることができます。<br> そのしけんはいっかいのみうけることができます。 <br>You can only take the exam once.	
夕食	[sound:k-3278_夕食.mp3]<br>ゆうしょく <br> evening meal, dinner
evening meal, dinner	<b>夕食<b> <br> ゆうしょく <br>[sound:k-3278_夕食.mp3]
[sound:k-3278_夕食.mp3]	evening meal, dinner<br> <b>夕食</b> <br> (ゆうしょく)
(<b>新規</b>) 新規のプロジェクトに参加することになりました。	[sound:s-3278_新規のプロジェクトに参加することになりました。.mp3] <br> しんきのぷろじぇくとにさんかすることになりました。 <br> I've decided to participate in the new project.
[sound:s-3268_次回の会議は来週火曜日に予定されています。.mp3]	(<b>次回</b>) 次回の会議は来週火曜日に予定されています。<br> じかいのかいぎはらいしゅうかようびによていされています。 <br>The next meeting is scheduled for next Tuesday.	
食べ物	[sound:k-3279_食べ物.mp3]<br>たべもの <br> food
food	<b>食べ物<b> <br> たべもの <br>[sound:k-3279_食べ物.mp3]
[sound:k-3279_食べ物.mp3]	food<br> <b>食べ物</b> <br> (たべもの)
(<b>現場</b>) 火災現場の調査が行われています。	[sound:s-3279_火災現場の調査が行われています。.mp3] <br> かさいげんばのちょうさがおこなわれています。 <br> Investigation at the scene of the fire is underway.
[sound:s-3269_彼は新たな挑戦を始めました。.mp3]	(<b>新た</b>) 彼は新たな挑戦を始めました。<br> かれはあらたなちょうせんをはじめました。 <br>He embarked on a new challenge.	
比べる	[sound:k-3280_比べる.mp3]<br>くらべる <br> to compare, to make a comparison; to compete, to vie
to compare, to make a comparison; to compete, to vie	<b>比べる<b> <br> くらべる <br>[sound:k-3280_比べる.mp3]
[sound:k-3280_比べる.mp3]	to compare, to make a comparison; to compete, to vie<br> <b>比べる</b> <br> (くらべる)
