[sound:k-3663_宮殿.mp3]	palace<br> <b>宮殿</b> <br> (きゅうでん)
(<b>運用</b>) そのシステムの運用はスムーズです。	[sound:s-3832_そのシステムの運用はスムーズです。.mp3] <br> そのしすてむのうんようはすむーずです。 <br> The operation of the system is smooth.
[sound:s-3822_彼は援助を要請しました。.mp3]	(<b>要請</b>) 彼は援助を要請しました。<br> かれはえんじょをようせいしました。 <br>He requested assistance.	
糖尿病	[sound:k-3833_糖尿病.mp3]<br>とうにょうびょう <br> diabetes mellitus, sugar diabetes
diabetes mellitus, sugar diabetes	<b>糖尿病<b> <br> とうにょうびょう <br>[sound:k-3833_糖尿病.mp3]
[sound:k-3833_糖尿病.mp3]	diabetes mellitus, sugar diabetes<br> <b>糖尿病</b> <br> (とうにょうびょう)
(<b>乗用車</b>) 乗用車の販売が増加しています。	[sound:s-3833_乗用車の販売が増加しています。.mp3] <br> じょうようしゃのはんばいがぞうかしています。 <br> The sales of passenger cars are increasing.
[sound:s-3823_この計画の必要性を説明してください。.mp3]	(<b>必要性</b>) この計画の必要性を説明してください。<br> このけいかくのひつようせいをせつめいしてください。 <br>Please explain the necessity of this plan.	
白血病	[sound:k-3834_白血病.mp3]<br>はっけつびょう <br> leukemia
leukemia	<b>白血病<b> <br> はっけつびょう <br>[sound:k-3834_白血病.mp3]
[sound:k-3834_白血病.mp3]	leukemia<br> <b>白血病</b> <br> (はっけつびょう)
(<b>信用</b>) 彼は信用できる人です。	[sound:s-3834_彼は信用できる人です。.mp3] <br> かれはしんようできるひとです。 <br> He is a trustworthy person.
[sound:s-3824_成功の要因は何ですか？.mp3]	(<b>要因</b>) 成功の要因は何ですか？	せいこうのよういんはなんですか？ <br>What are the factors for success?
病状	[sound:k-3835_病状.mp3]<br>びょうじょう <br> condition of a disease (patient)
condition of a disease (patient)	<b>病状<b> <br> びょうじょう <br>[sound:k-3835_病状.mp3]
[sound:k-3835_病状.mp3]	condition of a disease<br> <b>patient) (病状</b> <br> (びょうじょう)
(<b>適用</b>) この法律は全国に適用されます。	[sound:s-3835_この法律は全国に適用されます。.mp3] <br> このほうりつはぜんこくにてきようされます。 <br> This law applies nationwide.
[sound:s-3825_このプロジェクトの重要な要員を見つけるのは難しい。.mp3]	(<b>要員</b>) このプロジェクトの重要な要員を見つけるのは難しい。<br> このぷろじぇくとのじゅうようなよういんをみつけるのはむずかしい。 <br>It's difficult to find key personnel for this project.	
病棟	[sound:k-3836_病棟.mp3]<br>びょうとう <br> (hospital) ward
(hospital) ward	<b>病棟<b> <br> びょうとう <br>[sound:k-3836_病棟.mp3]
[sound:k-3836_病棟.mp3]	(hospital) ward<br> <b>病棟</b> <br> (びょうとう)
(<b>利用者</b>) そのアプリは多くの利用者がいます。	[sound:s-3836_そのアプリは多くの利用者がいます。.mp3] <br> そのあぷりはおおくのりようしゃがいます。 <br> The app has many users.
[sound:s-3826_成功の要素は計画と実行にあります。.mp3]	(<b>要素</b>) 成功の要素は計画と実行にあります。<br> せいこうのようそはけいかくとじっこうにあります。 <br>The elements of success lie in planning and execution.	
難病	[sound:k-3837_難病.mp3]<br>なんびょう <br> incurable disease
incurable disease	<b>難病<b> <br> なんびょう <br>[sound:k-3837_難病.mp3]
[sound:k-3837_難病.mp3]	incurable disease<br> <b>難病</b> <br> (なんびょう)
(<b>制</b>) この制度は改善が必要です。	[sound:s-3837_この制度は改善が必要です。.mp3] <br> このせいどはかいぜんがひつようです。 <br> This system needs improvement.
[sound:s-3827_雇用機会を増やすために政府は努力しています。.mp3]	(<b>雇用</b>) 雇用機会を増やすために政府は努力しています。<br> こようきかいをふやすためにせいふはどりょくしています。 <br>The government is working to increase employment opportunities.	
成人病	[sound:k-3838_成人病.mp3]<br>せいじんびょう <br> adult diseases
adult diseases	<b>成人病<b> <br> せいじんびょう <br>[sound:k-3838_成人病.mp3]
[sound:k-3838_成人病.mp3]	adult diseases<br> <b>成人病</b> <br> (せいじんびょう)
(<b>規制</b>) 新しい規制が導入されました。	[sound:s-3838_新しい規制が導入されました。.mp3] <br> あたらしいきせいがどうにゅうされました。 <br> New regulations have been introduced.
[sound:s-3828_その企業は新しい従業員を採用しました。.mp3]	(<b>採用</b>) その企業は新しい従業員を採用しました。<br> そのきぎょうはあたらしいじゅうぎょういんをさいようしました。 <br>The company hired new employees.	
心臓病	[sound:k-3839_心臓病.mp3]<br>しんぞうびょう <br> heart trouble, heart disease
heart trouble, heart disease	<b>心臓病<b> <br> しんぞうびょう <br>[sound:k-3839_心臓病.mp3]
[sound:k-3839_心臓病.mp3]	heart trouble, heart disease<br> <b>心臓病</b> <br> (しんぞうびょう)
(<b>制度</b>) その制度は効果的です。	[sound:s-3839_その制度は効果的です。.mp3] <br> そのせいどはこうかてきです。 <br> The system is effective.
[sound:s-3829_この機械は簡単に使用できます。.mp3]	(<b>使用</b>) この機械は簡単に使用できます。<br> このきかいはかんたんにしようできます。 <br>This machine is easy to use.	
農	[sound:k-3840_農.mp3]<br>のう <br> farming, agriculture
farming, agriculture	<b>農<b> <br> のう <br>[sound:k-3840_農.mp3]
[sound:k-3840_農.mp3]	farming, agriculture<br> <b>農</b> <br> (のう)
(<b>体制</b>) 新しい政府体制が導入されました。	[sound:s-3840_新しい政府体制が導入されました。.mp3] <br> あたらしいせいふたいせいがどうにゅうされました。 <br> A new government system has been introduced.
[sound:s-3830_プロジェクトの費用を見積もってください。.mp3]	(<b>費用</b>) プロジェクトの費用を見積もってください。<br> ぷろじぇくとのひようをみつもってください。 <br>Please estimate the cost of the project.	
農業	[sound:k-3841_農業.mp3]<br>のうぎょう <br> agriculture
agriculture	<b>農業<b> <br> のうぎょう <br>[sound:k-3841_農業.mp3]
[sound:k-3841_農業.mp3]	agriculture<br> <b>農業</b> <br> (のうぎょう)
(<b>制裁</b>) 国連は制裁措置を取りました。	[sound:s-3841_国連は制裁措置を取りました。.mp3] <br> こくれんはせいさいそちをとりました。 <br> The United Nations imposed sanctions.
[sound:s-3831_この機会を最大限に利用しましょう。.mp3]	(<b>利用</b>) この機会を最大限に利用しましょう。<br> このきかいをさいだいげんにりようしましょう。 <br>Let's make the most of this opportunity.	
農家	[sound:k-3842_農家.mp3]<br>のうか <br> farmer, farm family
farmer, farm family	<b>農家<b> <br> のうか <br>[sound:k-3842_農家.mp3]
[sound:k-3842_農家.mp3]	farmer, farm family<br> <b>農家</b> <br> (のうか)
(<b>税制</b>) 税制改革が行われます。	[sound:s-3842_税制改革が行われます。.mp3] <br> ぜいせいかいかくがおこなわれます。 <br> Tax reform is being carried out.
[sound:s-3832_そのシステムの運用はスムーズです。.mp3]	(<b>運用</b>) そのシステムの運用はスムーズです。<br> そのしすてむのうんようはすむーずです。 <br>The operation of the system is smooth.	
農協	[sound:k-3843_農協.mp3]<br>のうきょう <br> agricultural cooperative
agricultural cooperative	<b>農協<b> <br> のうきょう <br>[sound:k-3843_農協.mp3]
[sound:k-3843_農協.mp3]	agricultural cooperative<br> <b>農協</b> <br> (のうきょう)
(<b>強制</b>) 彼は強制労働をしている。	[sound:s-3843_彼は強制労働をしている。.mp3] <br> かれはきょうせいろうどうをしている。 <br> He is doing forced labor.
[sound:s-3833_乗用車の販売が増加しています。.mp3]	(<b>乗用車</b>) 乗用車の販売が増加しています。<br> じょうようしゃのはんばいがぞうかしています。 <br>The sales of passenger cars are increasing.	
農村	[sound:k-3844_農村.mp3]<br>のうそん <br> agricultural community, farm village, rural
agricultural community, farm village, rural	<b>農村<b> <br> のうそん <br>[sound:k-3844_農村.mp3]
[sound:k-3844_農村.mp3]	agricultural community, farm village, rural<br> <b>農村</b> <br> (のうそん)
(<b>制限</b>) 速度制限を守ってください。	[sound:s-3844_速度制限を守ってください。.mp3] <br> そくどせいげんをまもってください。 <br> Please observe the speed limit.
[sound:s-3834_彼は信用できる人です。.mp3]	(<b>信用</b>) 彼は信用できる人です。<br> かれはしんようできるひとです。 <br>He is a trustworthy person.	
農民	[sound:k-3845_農民.mp3]<br>のうみん <br> farmers, peasants
farmers, peasants	<b>農民<b> <br> のうみん <br>[sound:k-3845_農民.mp3]
[sound:k-3845_農民.mp3]	farmers, peasants<br> <b>農民</b> <br> (のうみん)
(<b>制作</b>) その映画の制作が完了しました。	[sound:s-3845_その映画の制作が完了しました。.mp3] <br> そのえいがのせいさくがかんりょうしました。 <br> The production of the movie has been completed.
[sound:s-3835_この法律は全国に適用されます。.mp3]	(<b>適用</b>) この法律は全国に適用されます。<br> このほうりつはぜんこくにてきようされます。 <br>This law applies nationwide.	
農薬	[sound:k-3846_農薬.mp3]<br>のうやく <br> agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical
agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical	<b>農薬<b> <br> のうやく <br>[sound:k-3846_農薬.mp3]
[sound:k-3846_農薬.mp3]	agricultural chemical<br> <b>i.e. pesticide, herbicide, fungicide, etc.), agrochemical, agrichemical (農薬</b> <br> (のうやく)
(<b>制定</b>) 新しい法律が制定されました。	[sound:s-3846_新しい法律が制定されました。.mp3] <br> あたらしいほうりつがせいていされました。 <br> A new law has been enacted.
[sound:s-3836_そのアプリは多くの利用者がいます。.mp3]	(<b>利用者</b>) そのアプリは多くの利用者がいます。<br> そのあぷりはおおくのりようしゃがいます。 <br>The app has many users.	
農産物	[sound:k-3847_農産物.mp3]<br>のうさんぶつ <br> agricultural produce
agricultural produce	<b>農産物<b> <br> のうさんぶつ <br>[sound:k-3847_農産物.mp3]
[sound:k-3847_農産物.mp3]	agricultural produce<br> <b>農産物</b> <br> (のうさんぶつ)
(<b>政治</b>) 彼の家族は政治に関わっています。	[sound:s-3847_彼の家族は政治に関わっています。.mp3] <br> かれのかぞくはせいじにかかわっています。 <br> His family is involved in politics.
[sound:s-3837_この制度は改善が必要です。.mp3]	(<b>制</b>) この制度は改善が必要です。<br> このせいどはかいぜんがひつようです。 <br>This system needs improvement.	
農地	[sound:k-3848_農地.mp3]<br>のうち <br> agricultural land
agricultural land	<b>農地<b> <br> のうち <br>[sound:k-3848_農地.mp3]
[sound:k-3848_農地.mp3]	agricultural land<br> <b>農地</b> <br> (のうち)
(<b>政治家</b>) 彼は将来政治家になりたいと考えています。	[sound:s-3848_彼は将来政治家になりたいと考えています。.mp3] <br> かれはしょうらいせいじかになりたいとかんがえています。 <br> He wants to become a politician in the future.
