[sound:s-0281_彼は私の前に立っています。.mp3]	<b>前</b> <br> 彼は私の前に立っています。<br> かれはわたしのまえにたっています <br>He is standing in front of me.
[sound:s-0468_彼女は進路について悩んでいます。.mp3]	<b>進路</b> <br> 彼女は進路について悩んでいます。<br> かのじょはしんろについてなやんでいます <br>She is worried about her future path.
四半期	[sound:k-0469_四半期.mp3]<br>しはんき <br> quarter (of a year)
quarter (of a year)	<b>四半期<b> <br> しはんき <br>[sound:k-0469_四半期.mp3]
[sound:k-0469_四半期.mp3]	quarter<br> <b>of a year) (四半期</b> <br> (しはんき)
<b>前進</b> <br> チームは試合での勝利に向けて前進しています。	[sound:s-0469_チームは試合での勝利に向けて前進しています。.mp3] <br> ちーむはしあいでのしょうりにむけてぜんしんしています。 <br>The team is advancing toward victory in the match.
[sound:s-0469_チームは試合での勝利に向けて前進しています。.mp3]	<b>前進</b> <br> チームは試合での勝利に向けて前進しています。<br> ちーむはしあいでのしょうりにむけてぜんしんしています <br>The team is advancing toward victory in the match.
協定	[sound:k-0470_協定.mp3]<br>きょうてい <br> arrangement, pact, agreement
arrangement, pact, agreement	<b>協定<b> <br> きょうてい <br>[sound:k-0470_協定.mp3]
[sound:k-0470_協定.mp3]	arrangement, pact, agreement<br> <b>協定</b> <br> (きょうてい)
<b>昇進</b> <br> 彼女は昨日、昇進の通知を受け取りました。	[sound:s-0470_彼女は昨日、昇進の通知を受け取りました。.mp3] <br> かのじょはきのう、しょうしんのつうちをうけとりました。 <br>She received a promotion notice yesterday.
[sound:s-0470_彼女は昨日、昇進の通知を受け取りました。.mp3]	<b>昇進</b> <br> 彼女は昨日、昇進の通知を受け取りました。<br> かのじょはきのう、しょうしんのつうちをうけとりました <br>She received a promotion notice yesterday.
決定	[sound:k-0471_決定.mp3]<br>けってい <br> decision, determination
decision, determination	<b>決定<b> <br> けってい <br>[sound:k-0471_決定.mp3]
[sound:k-0471_決定.mp3]	decision, determination<br> <b>決定</b> <br> (けってい)
<b>正</b> <br> 彼の行動は正しいとは限りません。	[sound:s-0471_彼の行動は正しいとは限りません。.mp3] <br> かれのこうどうはただしいとはかぎりません。 <br>His actions are not necessarily right.
[sound:s-0471_彼の行動は正しいとは限りません。.mp3]	<b>正</b> <br> 彼の行動は正しいとは限りません。<br> かれのこうどうはただしいとはかぎりません <br>His actions are not necessarily right.
予定	[sound:k-0472_予定.mp3]<br>よてい <br> plans, arrangement, schedule, program, programme, expectation, estimate
plans, arrangement, schedule, program, programme, expectation, estimate	<b>予定<b> <br> よてい <br>[sound:k-0472_予定.mp3]
[sound:k-0472_予定.mp3]	plans, arrangement, schedule, program, programme, expectation, estimate<br> <b>予定</b> <br> (よてい)
<b>改正</b> <br> 法律が改正されました。	[sound:s-0472_法律が改正されました。.mp3] <br> ほうりつがかいせいされました。 <br>The law has been amended.
[sound:s-0472_法律が改正されました。.mp3]	<b>改正</b> <br> 法律が改正されました。<br> ほうりつがかいせいされました <br>The law has been amended.
安定	[sound:k-0473_安定.mp3]<br>あんてい <br> stability, equilibrium
stability, equilibrium	<b>安定<b> <br> あんてい <br>[sound:k-0473_安定.mp3]
[sound:k-0473_安定.mp3]	stability, equilibrium<br> <b>安定</b> <br> (あんてい)
<b>修正</b> <br> その誤りを修正する必要があります。	[sound:s-0473_その誤りを修正する必要があります。.mp3] <br> そのあやまりをしゅうせいするひつようがあります。 <br>The mistake needs to be corrected.
[sound:s-0473_その誤りを修正する必要があります。.mp3]	<b>修正</b> <br> その誤りを修正する必要があります。<br> そのあやまりをしゅうせいするひつようがあります <br>The mistake needs to be corrected.
暫定	[sound:k-0474_暫定.mp3]<br>ざんてい <br> tentative, temporary
tentative, temporary	<b>暫定<b> <br> ざんてい <br>[sound:k-0474_暫定.mp3]
[sound:k-0474_暫定.mp3]	tentative, temporary<br> <b>暫定</b> <br> (ざんてい)
<b>正式</b> <br> 彼は正式な謝罪を行いました。	[sound:s-0474_彼は正式な謝罪を行いました。.mp3] <br> かれはせいしきなしゃざいをおこないました。 <br>He made a formal apology.
[sound:s-0474_彼は正式な謝罪を行いました。.mp3]	<b>正式</b> <br> 彼は正式な謝罪を行いました。<br> かれはせいしきなしゃざいをおこないました <br>He made a formal apology.
定数	[sound:k-0475_定数.mp3]<br>ていすう <br> constant; literal
constant; literal	<b>定数<b> <br> ていすう <br>[sound:k-0475_定数.mp3]
[sound:k-0475_定数.mp3]	constant; literal<br> <b>定数</b> <br> (ていすう)
<b>正常</b> <br> 機械が正常に作動しています。	[sound:s-0475_機械が正常に作動しています。.mp3] <br> きかいがせいじょうにさどうしています。 <br>The machine is operating normally.
[sound:s-0475_機械が正常に作動しています。.mp3]	<b>正常</b> <br> 機械が正常に作動しています。<br> きかいがせいじょうにさどうしています <br>The machine is operating normally.
一定	[sound:k-0476_一定.mp3]<br>いってい, いちじょう <br> fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed
fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed	<b>一定<b> <br> いってい, いちじょう <br>[sound:k-0476_一定.mp3]
[sound:k-0476_一定.mp3]	fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed<br> <b>一定</b> <br> (いってい, いちじょう)
<b>是正</b> <br> その問題を是正する必要があります。	[sound:s-0476_その問題を是正する必要があります。.mp3] <br> そのもんだいをぜせいするひつようがあります。 <br>The problem needs to be corrected.
[sound:s-0476_その問題を是正する必要があります。.mp3]	<b>是正</b> <br> その問題を是正する必要があります。<br> そのもんだいをぜせいするひつようがあります <br>The problem needs to be corrected.
規定	[sound:k-0477_規定.mp3]<br>きてい <br> regulation, provisions
regulation, provisions	<b>規定<b> <br> きてい <br>[sound:k-0477_規定.mp3]
[sound:k-0477_規定.mp3]	regulation, provisions<br> <b>規定</b> <br> (きてい)
<b>正義</b> <br> 公正な判決が下されました。	[sound:s-0477_公正な判決が下されました。.mp3] <br> こうせいなはんけつがくだされました。 <br>A just verdict was reached.
[sound:s-0477_公正な判決が下されました。.mp3]	<b>正義</b> <br> 公正な判決が下されました。<br> こうせいなはんけつがくだされました <br>A just verdict was reached.
指定	[sound:k-0478_指定.mp3]<br>してい <br> designation, specification, assignment, appointment, pointing at
designation, specification, assignment, appointment, pointing at	<b>指定<b> <br> してい <br>[sound:k-0478_指定.mp3]
[sound:k-0478_指定.mp3]	designation, specification, assignment, appointment, pointing at<br> <b>指定</b> <br> (してい)
<b>正午</b> <br> 今日の正午に会議があります。	[sound:s-0478_今日の正午に会議があります。.mp3] <br> きょうのしょうごにかいぎがあります。 <br>There is a meeting at noon today.
[sound:s-0478_今日の正午に会議があります。.mp3]	<b>正午</b> <br> 今日の正午に会議があります。<br> きょうのしょうごにかいぎがあります <br>There is a meeting at noon today.
定期	[sound:k-0479_定期.mp3]<br>ていき <br> fixed term; fixed-term commutation pass; fixed-term deposit
fixed term; fixed-term commutation pass; fixed-term deposit	<b>定期<b> <br> ていき <br>[sound:k-0479_定期.mp3]
[sound:k-0479_定期.mp3]	fixed term; fixed-term commutation pass; fixed-term deposit<br> <b>定期</b> <br> (ていき)
<b>正面</b> <br> 彼女は正面から問題に取り組みました。	[sound:s-0479_彼女は正面から問題に取り組みました。.mp3] <br> かのじょはしょうめんからもんだいにとりくみました。 <br>She addressed the issue head-on.
[sound:s-0479_彼女は正面から問題に取り組みました。.mp3]	<b>正面</b> <br> 彼女は正面から問題に取り組みました。<br> かのじょはしょうめんからもんだいにとりくみました <br>She addressed the issue head-on.
今	[sound:k-0480_今.mp3]<br>いま <br> now, the present time, just now, soon, immediately, (one) more
now, the present time, just now, soon, immediately, (one) more	<b>今<b> <br> いま <br>[sound:k-0480_今.mp3]
[sound:k-0480_今.mp3]	now, the present time, just now, soon, immediately,<br> <b>one) more (今</b> <br> (いま)
<b>不正</b> <br> その行為は不正だとされました。	[sound:s-0480_その行為は不正だとされました。.mp3] <br> そのこういはふせいだとされました。 <br>The act was deemed unethical.
[sound:s-0480_その行為は不正だとされました。.mp3]	<b>不正</b> <br> その行為は不正だとされました。<br> そのこういはふせいだとされました <br>The act was deemed unethical.
今や	[sound:k-0481_今や.mp3]<br>いまや <br> now
now	<b>今や<b> <br> いまや <br>[sound:k-0481_今や.mp3]
[sound:k-0481_今や.mp3]	now<br> <b>今や</b> <br> (いまや)
<b>安全</b> <br> 安全が最優先です。	[sound:s-0481_安全が最優先です。.mp3] <br> あんぜんがさいゆうせんです。 <br>Safety is the top priority.
[sound:s-0481_安全が最優先です。.mp3]	<b>安全</b> <br> 安全が最優先です。<br> あんぜんがさいゆうせんです <br>Safety is the top priority.
今回	[sound:k-0482_今回.mp3]<br>こんかい <br> now, this time, lately
now, this time, lately	<b>今回<b> <br> こんかい <br>[sound:k-0482_今回.mp3]
[sound:k-0482_今回.mp3]	now, this time, lately<br> <b>今回</b> <br> (こんかい)
<b>安保</b> <br> その国は安保政策を強化しています。	[sound:s-0482_その国は安保政策を強化しています。.mp3] <br> そのくにはあんぽせいさくをきょうかしています。 <br>The country is strengthening its security policy.
[sound:s-0482_その国は安保政策を強化しています。.mp3]	<b>安保</b> <br> その国は安保政策を強化しています。<br> そのくにはあんぽせいさくをきょうかしています <br>The country is strengthening its security policy.
