presenting a case, suing	<b>提訴<b> <br> ていそ <br>[sound:k-2536_提訴.mp3]
[sound:s-2726_彼は山登りのために最新の装備を購入しました。.mp3]	<b>装備</b> <br> 彼は山登りのために最新の装備を購入しました。<br> かれはやまのぼりのためにさいしんのそうびをこうにゅうしました <br>He bought the latest equipment for mountain climbing.
放射能	[sound:k-2727_放射能.mp3]<br>ほうしゃのう <br> radioactivity
radioactivity	<b>放射能<b> <br> ほうしゃのう <br>[sound:k-2727_放射能.mp3]
[sound:k-2727_放射能.mp3]	radioactivity<br> <b>放射能</b> <br> (ほうしゃのう)
<b>軍備</b> <br> 両国の軍備拡張は国際社会の安定に影響を与えます。	[sound:s-2727_両国の軍備拡張は国際社会の安定に影響を与えます。.mp3] <br> りょうこくのぐんびかくちょうはこくさいしゃかいのあんていにえいきょうをあたえます。 <br>The expansion of both countries' military capabilities affects the stability of the international community.
[sound:s-2727_両国の軍備拡張は国際社会の安定に影響を与えます。.mp3]	<b>軍備</b> <br> 両国の軍備拡張は国際社会の安定に影響を与えます。<br> りょうこくのぐんびかくちょうはこくさいしゃかいのあんていにえいきょうをあたえます <br>The expansion of both countries' military capabilities affects the stability of the international community.
才能	[sound:k-2728_才能.mp3]<br>さいのう <br> talent, ability
talent, ability	<b>才能<b> <br> さいのう <br>[sound:k-2728_才能.mp3]
[sound:k-2728_才能.mp3]	talent, ability<br> <b>才能</b> <br> (さいのう)
<b>備蓄</b> <br> 災害時に備蓄した食料品が役立ちます。	[sound:s-2728_災害時に備蓄した食料品が役立ちます。.mp3] <br> さいがいじにびちくしたしょくりょうひんがやくだちます。 <br>Stored food supplies come in handy during disasters.
[sound:s-2728_災害時に備蓄した食料品が役立ちます。.mp3]	<b>備蓄</b> <br> 災害時に備蓄した食料品が役立ちます。<br> さいがいじにびちくしたしょくりょうひんがやくだちます <br>Stored food supplies come in handy during disasters.
性能	[sound:k-2729_性能.mp3]<br>せいのう <br> ability, performance, efficiency
ability, performance, efficiency	<b>性能<b> <br> せいのう <br>[sound:k-2729_性能.mp3]
[sound:k-2729_性能.mp3]	ability, performance, efficiency<br> <b>性能</b> <br> (せいのう)
<b>宅</b> <br> 彼は自分の宅で静かな夜を過ごした。	[sound:s-2729_彼は自分の宅で静かな夜を過ごした。.mp3] <br> かれはじぶんのたくでしずかなよるをすごした。 <br>He spent a quiet night at his home.
[sound:s-2729_彼は自分の宅で静かな夜を過ごした。.mp3]	<b>宅</b> <br> 彼は自分の宅で静かな夜を過ごした。<br> かれはじぶんのたくでしずかなよるをすごした <br>He spent a quiet night at his home.
無料	[sound:k-2730_無料.mp3]<br>むりょう <br> free, no charge
free, no charge	<b>無料<b> <br> むりょう <br>[sound:k-2730_無料.mp3]
[sound:k-2730_無料.mp3]	free, no charge<br> <b>無料</b> <br> (むりょう)
<b>自宅</b> <br> 彼女は自宅で家族と夕食を楽しんだ。	[sound:s-2730_彼女は自宅で家族と夕食を楽しんだ。.mp3] <br> かのじょはじたくでかぞくとゆうしょくをたのしんだ。 <br>She enjoyed dinner with her family at home.
[sound:s-2730_彼女は自宅で家族と夕食を楽しんだ。.mp3]	<b>自宅</b> <br> 彼女は自宅で家族と夕食を楽しんだ。<br> かのじょはじたくでかぞくとゆうしょくをたのしんだ <br>She enjoyed dinner with her family at home.
無職	[sound:k-2731_無職.mp3]<br>むしょく <br> without an occupation
without an occupation	<b>無職<b> <br> むしょく <br>[sound:k-2731_無職.mp3]
[sound:k-2731_無職.mp3]	without an occupation<br> <b>無職</b> <br> (むしょく)
<b>住宅</b> <br> この地域には新しい住宅が建設されています。	[sound:s-2731_この地域には新しい住宅が建設されています。.mp3] <br> このちいきにはあたらしいじゅうたくがけんせつされています。 <br>New housing is being constructed in this area.
[sound:s-2731_この地域には新しい住宅が建設されています。.mp3]	<b>住宅</b> <br> この地域には新しい住宅が建設されています。<br> このちいきにはあたらしいじゅうたくがけんせつされています <br>New housing is being constructed in this area.
無所属	[sound:k-2732_無所属.mp3]<br>むしょぞく <br> independent
independent	<b>無所属<b> <br> むしょぞく <br>[sound:k-2732_無所属.mp3]
[sound:k-2732_無所属.mp3]	independent<br> <b>無所属</b> <br> (むしょぞく)
<b>在宅</b> <br> リモートワークにより、多くの人々が在宅勤務をしています。	[sound:s-2732_リモートワークにより、多くの人々が在宅勤務をしています。.mp3] <br> りもーとわーくにより、おおくのひとびとがざいたくきんむをしています。 <br>"Due to remote work, many people are working from home."
[sound:s-2732_リモートワークにより、多くの人々が在宅勤務をしています。.mp3]	<b>在宅</b> <br> リモートワークにより、多くの人々が在宅勤務をしています。<br> りもーとわーくにより、おおくのひとびとがざいたくきんむをしています <br>Due to remote work, many people are working from home.
無罪	[sound:k-2733_無罪.mp3]<br>むざい <br> innocence
innocence	<b>無罪<b> <br> むざい <br>[sound:k-2733_無罪.mp3]
[sound:k-2733_無罪.mp3]	innocence<br> <b>無罪</b> <br> (むざい)
<b>家宅</b> <br> 彼の家宅は都心から離れた静かな場所にあります。	[sound:s-2733_彼の家宅は都心から離れた静かな場所にあります。.mp3] <br> かれのかたくはとしんからはなれたしずかなばしょにあります。 <br>His residence is located in a quiet place away from the city center.
[sound:s-2733_彼の家宅は都心から離れた静かな場所にあります。.mp3]	<b>家宅</b> <br> 彼の家宅は都心から離れた静かな場所にあります。<br> かれのかたくはとしんからはなれたしずかなばしょにあります <br>His residence is located in a quiet place away from the city center.
無理	[sound:k-2734_無理.mp3]<br>むり <br> unreasonable, impossible, overdoing
unreasonable, impossible, overdoing	<b>無理<b> <br> むり <br>[sound:k-2734_無理.mp3]
[sound:k-2734_無理.mp3]	unreasonable, impossible, overdoing<br> <b>無理</b> <br> (むり)
<b>住宅地</b> <br> この地域は住宅地として人気があります。	[sound:s-2734_この地域は住宅地として人気があります。.mp3] <br> このちいきはじゅうたくちとしてにんきがあります。 <br>This area is popular as a residential area.
[sound:s-2734_この地域は住宅地として人気があります。.mp3]	<b>住宅地</b> <br> この地域は住宅地として人気があります。<br> このちいきはじゅうたくちとしてにんきがあります <br>This area is popular as a residential area.
無線	[sound:k-2735_無線.mp3]<br>むせん <br> wireless, radio
wireless, radio	<b>無線<b> <br> むせん <br>[sound:k-2735_無線.mp3]
[sound:k-2735_無線.mp3]	wireless, radio<br> <b>無線</b> <br> (むせん)
<b>宅地</b> <br> 新しい宅地開発が計画されています。	[sound:s-2735_新しい宅地開発が計画されています。.mp3] <br> あたらしいたくちかいはつがけいかくされています。 <br>New residential development is being planned.
[sound:s-2735_新しい宅地開発が計画されています。.mp3]	<b>宅地</b> <br> 新しい宅地開発が計画されています。<br> あたらしいたくちかいはつがけいかくされています <br>New residential development is being planned.
無効	[sound:k-2736_無効.mp3]<br>むこう <br> invalid, no effect, unavailable, illegal
invalid, no effect, unavailable, illegal	<b>無効<b> <br> むこう <br>[sound:k-2736_無効.mp3]
[sound:k-2736_無効.mp3]	invalid, no effect, unavailable, illegal<br> <b>無効</b> <br> (むこう)
<b>帰宅</b> <br> 長い一日の後、彼は遅く帰宅しました。	[sound:s-2736_長い一日の後、彼は遅く帰宅しました。.mp3] <br> ながいいちにちのあと、かれはおそくきたくしました。 <br>"After a long day, he returned home late."
[sound:s-2736_長い一日の後、彼は遅く帰宅しました。.mp3]	<b>帰宅</b> <br> 長い一日の後、彼は遅く帰宅しました。<br> ながいいちにちのあと、かれはおそくきたくしました <br>After a long day, he returned home late.
無償	[sound:k-2737_無償.mp3]<br>むしょう <br> no compensation, free of charge
no compensation, free of charge	<b>無償<b> <br> むしょう <br>[sound:k-2737_無償.mp3]
[sound:k-2737_無償.mp3]	no compensation, free of charge<br> <b>無償</b> <br> (むしょう)
<b>宅配</b> <br> インターネットでの宅配サービスが便利です。	[sound:s-2737_インターネットでの宅配サービスが便利です。.mp3] <br> いんたーねっとでのたくはいサービスがべんりです。 <br>Home delivery services on the internet are convenient.
[sound:s-2737_インターネットでの宅配サービスが便利です。.mp3]	<b>宅配</b> <br> インターネットでの宅配サービスが便利です。<br> いんたーねっとでのたくはいサービスがべんりです <br>Home delivery services on the internet are convenient.
有無	[sound:k-2738_有無.mp3]<br>うむ, ゆうむ <br> existence or nonexistence, presence or absence; consent or refusal, yes or no; flag indicator, presence or absence marker
existence or nonexistence, presence or absence; consent or refusal, yes or no; flag indicator, presence or absence marker	<b>有無<b> <br> うむ, ゆうむ <br>[sound:k-2738_有無.mp3]
[sound:k-2738_有無.mp3]	existence or nonexistence, presence or absence; consent or refusal, yes or no; flag indicator, presence or absence marker<br> <b>有無</b> <br> (うむ, ゆうむ)
<b>住宅街</b> <br> 彼女は静かな住宅街で暮らしています。	[sound:s-2738_彼女は静かな住宅街で暮らしています。.mp3] <br> かのじょはしずかなじゅうたくがいでくらしています。 <br>She lives in a quiet residential area.
[sound:s-2738_彼女は静かな住宅街で暮らしています。.mp3]	<b>住宅街</b> <br> 彼女は静かな住宅街で暮らしています。<br> かのじょはしずかなじゅうたくがいでくらしています <br>She lives in a quiet residential area.
無死	[sound:k-2739_無死.mp3]<br>むし <br> baseball with no outs
baseball with no outs	<b>無死<b> <br> むし <br>[sound:k-2739_無死.mp3]
[sound:k-2739_無死.mp3]	baseball with no outs<br> <b>無死</b> <br> (むし)
<b>障害</b> <br> 障害があっても、夢を追いかけることはできます。	[sound:s-2739_障害があっても、夢を追いかけることはできます。.mp3] <br> しょうがいがあっても、ゆめをおいかけることはできます。 <br>"Even with disabilities, you can still pursue your dreams."
