There is a meeting on the same day.	<b>同日に会議があります。</b> <br> どうじつにかいぎがあります。 <br><br> (同日) <br> [sound:4c-s-同日に会議があります。.mp3]
The exam results have been announced.	<b>試験の結果が発表されました。</b> <br> しけんのけっかがはっぴょうされました。 <br><br> (結果) <br> [sound:4c-s-試験の結果が発表されました。.mp3]
This medicine is effective.	<b>この薬は効果があります。</b> <br> このくすりはこうかがあります。 <br><br> (効果) <br> [sound:4c-s-この薬は効果があります。.mp3]
The fruit has ripened.	<b>果実が熟しました。</b> <br> かじつがじゅくしました。 <br><br> (果実) <br> [sound:4c-s-果実が熟しました。.mp3]
He boldly took on the challenge.	<b>彼は果敢に挑戦しました。</b> <br> かれはかかんにちょうせんしました。 <br><br> (果敢) <br> [sound:4c-s-彼は果敢に挑戦しました。.mp3]
The western sky is beautiful.	<b>西の空が美しいです。</b> <br> にしのそらがうつくしいです。 <br><br> (西) <br> [sound:4c-s-西の空が美しいです。.mp3]
I traveled to the Kansai region.	<b>関西地方に旅行しました。</b> <br> かんさいちほうにりょこうしました。 <br><br> (関西) <br> [sound:4c-s-関西地方に旅行しました。.mp3]
Western Japan has a warm climate.	<b>西日本は温暖な気候です。</b> <br> にしにほんはおんだんなきこうです。 <br><br> (西日本) <br> [sound:4c-s-西日本は温暖な気候です。.mp3]
I study Western culture.	<b>西洋の文化を学びます。</b> <br> せいようのぶんかをまなびます。 <br><br> (西洋) <br> [sound:4c-s-西洋の文化を学びます。.mp3]
His speech has momentum.	<b>彼の演説には勢いがあります。</b> <br> かれのえんぜつにはいきおいがあります。 <br><br> (勢い) <br> [sound:4c-s-彼の演説には勢いがあります。.mp3]
The water is flowing vigorously.	<b>勢みよく水が流れています。</b> <br> いきみよくみずがながれています。 <br><br> (勢み) <br> [sound:4c-s-勢みよく水が流れています。.mp3]
I shopped at Isetan.	<b>伊勢丹で買い物しました。</b> <br> いせたんでかいものしました。 <br><br> (伊勢丹) <br> [sound:4c-s-伊勢丹で買い物しました。.mp3]
His team is in the lead.	<b>彼のチームが優勢です。</b> <br> かれのチームがゆうせいです。 <br><br> (優勢) <br> [sound:4c-s-彼のチームが優勢です。.mp3]
We will reduce expenses.	<b>経費を削減します。</b> <br> けいひをさくげんします。 <br><br> (削減) <br> [sound:4c-s-経費を削減します。.mp3]
A tax reduction policy was implemented.	<b>減税政策が実施されました。</b> <br> げんぜいせいさくがじっしされました。 <br><br> (減税) <br> [sound:4c-s-減税政策が実施されました。.mp3]
The fee was reduced.	<b>料金が減額されました。</b> <br> りょうきんがげんがくされました。 <br><br> (減額) <br> [sound:4c-s-料金が減額されました。.mp3]
The factory decided to cut production.	<b>工場は減産を決定しました。</b> <br> こうじょうはげんさんをけっていしました。 <br><br> (減産) <br> [sound:4c-s-工場は減産を決定しました。.mp3]
Please put it on the stand.	<b>台の上に置いてください。</b> <br> だいのうえにおいてください。 <br><br> (台) <br> [sound:4c-s-台の上に置いてください。.mp3]
I traveled to Taiwan.	<b>台湾に旅行しました。</b> <br> たいわんにりょこうしました。 <br><br> (台湾) <br> [sound:4c-s-台湾に旅行しました。.mp3]
We build a solid foundation for the house.	<b>家の土台をしっかり作ります。</b> <br> いえのどだいをしっかりつくります。 <br><br> (土台) <br> [sound:4c-s-家の土台をしっかり作ります。.mp3]
I ate ramen at a food stall.	<b>屋台でラーメンを食べました。</b> <br> やたいでラーメンをたべました。 <br><br> (屋台) <br> [sound:4c-s-屋台でラーメンを食べました。.mp3]
There is a large garden.	<b>広い庭があります。</b> <br> ひろいにわがあります。 <br><br> (広い) <br> [sound:4c-s-広い庭があります。.mp3]
The expanse of the lake is beautiful.	<b>湖の広がりが美しいです。</b> <br> みずうみのひろがりがうつくしいです。 <br><br> (広がり) <br> [sound:4c-s-湖の広がりが美しいです。.mp3]
His knowledge is extensive.	<b>彼の知識は幅広いです。</b> <br> かれのちしきははばひろいです。 <br><br> (幅広い) <br> [sound:4c-s-彼の知識は幅広いです。.mp3]
He owns vast land.	<b>広大な土地を所有しています。</b> <br> こうだいなとちをしょゆうしています。 <br><br> (広大) <br> [sound:4c-s-広大な土地を所有しています。.mp3]
The content of this book is interesting.	<b>この本の内容は面白いです。</b> <br> このほんのないようはおもしろいです。 <br><br> (内容) <br> [sound:4c-s-この本の内容は面白いです。.mp3]
The suspect has been arrested.	<b>容疑者が逮捕されました。</b> <br> ようぎしゃがたいほされました。 <br><br> (容疑者) <br> [sound:4c-s-容疑者が逮捕されました。.mp3]
The full picture of the incident has become clear.	<b>事件の全容が明らかになりました。</b> <br> じけんのぜんようがあきらかになりました。 <br><br> (全容) <br> [sound:4c-s-事件の全容が明らかになりました。.mp3]
This USB has a capacity of 32GB.	<b>このUSBの容量は32GBです。</b> <br> このUSBのようりょうは32GBです。 <br><br> (容量) <br> [sound:4c-s-このUSBの容量は32GBです。.mp3]
Please be on time.	<b>必ず時間通りに来てください。</b> <br> かならずじかんどおりにきてください。 <br><br> (必ず) <br> [sound:4c-s-必ず時間通りに来てください。.mp3]
That is not necessarily correct.	<b>それは必ずしも正しくありません。</b> <br> それはかならずしもただしくありません。 <br><br> (必ずしも) <br> [sound:4c-s-それは必ずしも正しくありません。.mp3]
We aim for certain victory.	<b>必勝を目指します。</b> <br> ひっしょうをめざします。 <br><br> (必勝) <br> [sound:4c-s-必勝を目指します。.mp3]
Success is inevitable.	<b>成功は必然的です。</b> <br> せいこうはひつぜんてきです。 <br><br> (必然的) <br> [sound:4c-s-成功は必然的です。.mp3]
I will respond to the request.	<b>リクエストに応じます。</b> <br> リクエストにおうじます。 <br><br> (応じる) <br> [sound:4c-s-リクエストに応じます。.mp3]
We quickly responded to the issue.	<b>問題に迅速に対応しました。</b> <br> もんだいにじんそくにたいおうしました。 <br><br> (対応) <br> [sound:4c-s-問題に迅速に対応しました。.mp3]
I adapted to the new environment.	<b>新しい環境に適応しました。</b> <br> あたらしいかんきょうにてきおうしました。 <br><br> (適応) <br> [sound:4c-s-新しい環境に適応しました。.mp3]
There is no response to the call.	<b>電話の応答がありません。</b> <br> でんわのおうとうがありません。 <br><br> (応答) <br> [sound:4c-s-電話の応答がありません。.mp3]
The president gave a speech.	<b>大統領が演説をしました。</b> <br> だいとうりょうがえんぜつをしました。 <br><br> (演説) <br> [sound:4c-s-大統領が演説をしました。.mp3]
I went to see the performance.	<b>公演を見に行きました。</b> <br> こうえんをみにいきました。 <br><br> (公演) <br> [sound:4c-s-公演を見に行きました。.mp3]
I solved the math exercises.	<b>数学の演習問題を解きました。</b> <br> すうがくのえんしゅうもんだいをときました。 <br><br> (演習) <br> [sound:4c-s-数学の演習問題を解きました。.mp3]
The lead role in this movie is played by a famous actor.	<b>この映画の主演は有名な俳優です。</b> <br> このえいがのしゅえんはゆうめいなはいゆうです。 <br><br> (主演) <br> [sound:4c-s-この映画の主演は有名な俳優です。.mp3]
I called my friend.	<b>友達に電話しました。</b> <br> ともだちにでんわしました。 <br><br> (電話) <br> [sound:4c-s-友達に電話しました。.mp3]
Please turn on the lights.	<b>電気をつけてください。</b> <br> でんきをつけてください。 <br><br> (電気) <br> [sound:4c-s-電気をつけてください。.mp3]
Wind power generation is gaining attention.	<b>風力発電が注目されています。</b> <br> ふうりょくはつでんがちゅうもくされています。 <br><br> (発電) <br> [sound:4c-s-風力発電が注目されています。.mp3]
A new power plant is being constructed.	<b>新しい発電所が建設されています。</b> <br> あたらしいはつでんしょがけんせつされています。 <br><br> (発電所) <br> [sound:4c-s-新しい発電所が建設されています。.mp3]
The government will reduce expenditures.	<b>政府の歳出を削減します。</b> <br> せいふのさいしゅつをさくげんします。 <br><br> (歳出) <br> [sound:4c-s-政府の歳出を削減します。.mp3]
Revenue has increased.	<b>歳入が増加しました。</b> <br> さいにゅうがぞうかしました。 <br><br> (歳入) <br> [sound:4c-s-歳入が増加しました。.mp3]
End-of-year sales have begun.	<b>歳末のセールが始まりました。</b> <br> さいまつのセールがはじまりました。 <br><br> (歳末) <br> [sound:4c-s-歳末のセールが始まりました。.mp3]
